full_name,spec_B,diameter,epoch,a,e,i,om,w,ma,moid
"  3102 Krok (1981 QA)",S,1.6,2458600.5,2.15117111009953,.4493283297901474,8.441434704966229,172.0740746744588,154.715422693982,336.9429306928367,.183489
"  3103 Eger (1982 BB)",Xe,1.5,2458600.5,1.404185282465103,.3542354544211946,20.92911271257864,129.762372408811,254.0686243607444,199.3738318656949,.079032
"  3122 Florence (1981 ET3)",S,4.9,2458600.5,1.768889518826767,.4230601080787966,22.14239422414861,336.0804437562006,27.84121981424509,242.8720760633711,.0441982
"  3199 Nefertiti (1982 RA)",Sq,2.2,2458600.5,1.574459175382506,.2841461154298837,32.96161688953291,340.0066302720126,53.40777463426233,161.2485686203034,.215293
"  3200 Phaethon (1983 TB)",B,6.25,2458600.5,1.271372810515883,.8898976614653178,22.26024404856695,265.2162359606943,322.1855106119202,313.9389767098837,.0195545
"  3271 Ul (1982 RB)",,,2458600.5,2.101435378558774,.3957754450837961,25.06877299156526,158.8271838683163,159.0469830401131,17.54091919790381,.275729
"  3288 Seleucus (1982 DV)",K,2.8,2458600.5,2.033192006134566,.4560586841003369,5.930310137932565,218.6516955724429,349.3260862065908,281.105247304228,.102357
"  3352 McAuliffe (1981 CW)",A,,2458600.5,1.878861752792361,.369207565265771,4.773272686710929,107.363837013525,15.89567319588868,302.7742759773329,.202715
"  3360 Syrinx (1981 VA)",,1.8,2458600.5,2.465506025118422,.7459796068399062,21.16193521738387,242.5600726686446,63.4455628636977,260.7459492855737,.108618
"  3361 Orpheus (1982 HR)",,0.3,2455844.5,1.209662179045708,.3227518287938224,2.685064208145241,189.5305495453812,301.6952073346065,102.8299018073053,.0135908
"  3362 Khufu (1984 QA)",,0.7,2458600.5,.989537560450789,.4685174247283059,9.916838353353837,152.4376526441482,55.05381909473738,157.3147948656793,.013236
"  3551 Verenia (1983 RD)",,0.9,2458600.5,2.093061504619555,.4870367738441727,9.507939739488203,173.8138996490228,193.2293383688339,272.0206755570518,.0747389
"  3552 Don Quixote (1983 SA)",D,19.0,2458600.5,4.258927154158307,.7088439636790387,31.08108157302687,350.0027590955518,316.4480835325651,39.74116015123859,.333524
"  3553 Mera (1985 JA)",,,2458600.5,1.644704134297953,.3200571017043023,36.77173274446955,232.5316669753999,288.9067028795253,74.94977718795469,.294583
"  3554 Amun (1986 EB)",,3.341,2458600.5,.9736978573482672,.280410788961825,23.36009364976717,358.6177698611158,359.4132550967715,335.8390459877771,.250626
