spkid,a,e,i,om,w,ma,epoch,diameter,spec_B
2000076,3.414264879,0.166010853,2.121333842,204.3009575,252.2670098,346.7613476,2459000.5,145.423,X
2000079,2.444635923,0.189957924,4.61251268,206.5336156,201.5110126,331.5056009,2459000.5,63.479,S
2000080,2.295291517,0.200313448,8.676073494,218.6882237,139.6195216,210.6623847,2459000.5,68.563,S
2000083,2.431964225,0.081298689,4.963774681,27.72641336,168.5949555,333.5711095,2459000.5,110.503,X
2000087,3.482070736,0.093403616,10.87598592,73.04063802,263.5897265,153.4227032,2459000.5,253.051,X
2000090,3.14872561,0.166499514,2.206751713,69.96053962,244.9419894,215.635544,2459000.5,115.974,C
2000093,2.756376884,0.139066233,8.556424092,4.030975592,274.9405843,203.1480034,2459000.5,154.155,C
2000094,3.157818068,0.094273487,7.969380915,2.56535219,60.34317399,19.26394513,2459000.5,204.89,C
2000100,3.089431762,0.169555288,6.431994763,127.1816265,184.3863362,319.3062924,2459000.5,85.734,S
2000101,2.58307759,0.140584456,10.19686014,343.3825181,348.3691219,208.2023467,2459000.5,65.84,S
2000102,2.662333499,0.25110586,5.172851984,210.7978714,147.0245829,341.9682114,2459000.5,82.595,C
2000103,2.702140974,0.079236123,5.418345972,136.079743,188.6794967,83.70336252,2459000.5,83.908,S
2000107,3.49059289,0.065108845,10.0014532,172.5826385,306.397008,27.12007451,2459000.5,210.37,X
2000110,2.733551158,0.081363268,5.962488936,56.86235061,282.5433181,294.8461639,2459000.5,86.09,X
2000113,2.376287876,0.086616809,5.042979091,123.4466582,78.68011431,243.6948707,2459000.5,50.137,S
2000115,2.379083263,0.193192755,11.59420606,308.79612,97.06412515,124.2271711,2459000.5,79.83,S
2000117,2.992997487,0.026769669,14.89920757,348.737096,50.3619326,226.3618939,2459000.5,208.974,X
2000118,2.436901367,0.164625617,7.745332234,47.67843565,33.32877076,53.87046684,2459000.5,40.211,S
2000120,3.118620485,0.052021975,6.963090724,341.1625579,233.9639789,305.5434845,2459000.5,155.132,C
2000123,2.695223627,0.120620359,6.414358259,307.7251494,125.6747998,49.0521924,2459000.5,45.209,S
2000124,2.629926725,0.075516141,2.957464122,187.9747834,62.15469377,306.4612723,2459000.5,88.648,S
2000125,2.743653518,0.077941812,4.664196804,168.9812294,110.0107019,250.8239056,2459000.5,48.418,X
